Job ID                    Name             User            Time Use S Queue
------------------------- ---------------- --------------- -------- - -----
1628635.node96             LiFeF            doch                   0 Q gpuq           
1648923.node96             OMAbz.job        emily.ellis     973:15:5 R batch          
1690462.node96             CrO2_004         schretien       4314:58: R batch          
1699847.node96             jm22bdc-a        aue             1750:54: R molpro         
1700492.node96             script.sh        ucsbeqs         4434:46: R batch          
1700608.node96             traj6.job        sboldissar      137:36:2 R molpro         
1700627.node96             traj9.job        sboldissar      135:02:0 R molpro         
1700629.node96             traj10.job       sboldissar      132:52:1 R molpro         
1700872.node96             ...ctype.default colinstewart    459:31:2 R batch          
1700875.node96             ...ctype.default colinstewart    369:47:0 R batch          
1700982.node96             ...ctype.default colinstewart    947:27:0 R batch          
1700983.node96             ...ctype.default colinstewart           0 Q batch          
1700984.node96             ...ctype.default colinstewart           0 Q batch          
1700985.node96             ...ctype.default colinstewart           0 Q batch          
1700986.node96             ...ctype.default colinstewart           0 Q batch          
1700987.node96             ...ctype.default colinstewart           0 Q batch          
1700988.node96             ...ctype.default colinstewart           0 Q batch          
1700989.node96             ...ctype.default colinstewart           0 Q batch          
1700990.node96             ...ctype.default colinstewart           0 Q batch          
1700991.node96             ...ctype.default colinstewart           0 Q batch          
1700992.node96             ...ctype.default colinstewart           0 Q batch          
1700993.node96             ...ctype.default colinstewart           0 Q batch          
1700994.node96             ...ctype.default colinstewart           0 Q batch          
1700995.node96             ...ctype.default colinstewart           0 Q batch          
1700996.node96             ...ctype.default colinstewart           0 Q batch          
1700997.node96             ...ctype.default colinstewart           0 Q batch          
1700998.node96             ...ctype.default colinstewart           0 Q batch          
1700999.node96             ...ctype.default colinstewart           0 Q batch          
1701000.node96             ...ctype.default colinstewart           0 Q batch          
1701001.node96             ...ctype.default colinstewart           0 Q batch          
1701002.node96             ...ctype.default colinstewart           0 Q batch          
1701003.node96             ...ctype.default colinstewart           0 Q batch          
1701004.node96             ...ctype.default colinstewart           0 Q batch          
1701005.node96             ...ctype.default colinstewart           0 Q batch          
1701006.node96             ...ctype.default colinstewart           0 Q batch          
1701007.node96             ...ctype.default colinstewart           0 Q batch          
1701008.node96             ...ctype.default colinstewart           0 Q batch          
1701009.node96             ...ctype.default colinstewart           0 Q batch          
1701010.node96             ...ctype.default colinstewart           0 Q batch          
